Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
30000,1.4183968,-0.0010348978864991962,0.011700047204801403,-0.18407805,0.02263523,-0.22367081,-0.0010347351544889574,0.04083959532613513,0.02504822254924933,0.100721754,0.024771623,0.00029953918,3.4090366,0.47012147,7.063008,0.30392522,0.5639571,0.66550934
60000,1.4200611,-0.0020417779217784602,0.33324444444444445,0.0012976367,0.108494215,-0.09093243,-0.002040750260191861,0.03623149372695296,0.06859347987798446,0.0024291272,0.03216807,0.00029877096,0.5029853,0.43167937,1.8287777,0.24613535,0.7269806,0.45484897
90000,1.4168047,-0.0027511464905160335,5.555943293347873,-0.002608002,0.2249054,0.2826133,-0.0026474056374356783,0.11712137370218426,0.28397851840526817,0.02239123,0.032868747,0.00029784846,0.35184336,0.25249755,1.0781051,0.2762258,0.7083919,0.27130178
120000,1.4071447,0.1593794031198273,26.835807050092765,0.022695113,0.51759803,0.8509892,0.15932003292773464,0.3307685806923105,0.999504984248039,0.060710896,0.026974017,0.00029692356,0.24112236,0.07823646,0.8563619,0.27088222,0.72859764,0.2108078
150000,1.3991551,0.42575492736863785,41.22816901408451,0.079536214,0.80074453,1.3925047,0.41495775155162334,0.445028584909586,1.537818332111896,0.36160493,0.025065742,0.0002959968,0.17989336,0.053482097,0.8326878,0.26625422,0.747442,0.17560194
180000,1.3945999,0.4950667591608505,39.915531335149865,0.15525334,0.912205,1.7569861,0.5051893909093518,0.265911382693437,1.3908532242168867,0.12224734,0.024370953,0.00029506913,0.11827301,0.047317445,0.78524286,0.2569785,0.75524217,0.15635695
210000,1.3888732,0.742661978673235,45.95931142410016,0.24485387,0.9366968,2.111369,0.7428184643446822,0.2058079158712371,1.4312409323353046,0.1978318,0.022923842,0.0002941423,0.08156092,0.042556416,0.71819496,0.23596847,0.76327944,0.14132333
240000,1.3801631,0.7210567332357032,47.56401944894652,0.41590473,0.887559,2.5930967,0.721380888521777,0.16202489612397633,1.4273345235922348,0.13220854,0.022281485,0.00029321804,0.06512949,0.04165868,0.6810956,0.22800475,0.77236956,0.13062449
270000,1.3750824,1.3568333513143496,53.35144927536232,0.3609709,0.89500165,2.5058599,1.3565271670600665,0.18933364889834184,1.6151451313449745,0.38256118,0.019732555,0.00029229236,0.059255537,0.040055837,0.6687805,0.22580783,0.77740026,0.12637414
300000,1.3702248,1.1094721938215641,49.49578414839797,0.5331979,0.8247329,2.6942317,1.1089376417928238,0.12186479134701858,1.4059105666062182,0.28485355,0.024793133,0.00029136735,0.046708077,0.040269386,0.64107674,0.21735914,0.7815924,0.12742053
330000,1.3638496,1.1592012483080472,45.12288786482335,0.708816,0.77639514,2.9411986,1.1594885339491576,0.09522666868084209,1.2554603214769091,0.39675513,0.02151365,0.00029044048,0.039674345,0.04345253,0.6276738,0.21446902,0.78665775,0.04298454523086548
