Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/Pretraining Loss
30000,1.4177029,-0.0010485322491621883,0.014779491341991342,-0.15195873,0.82088596,-0.0010485421003574135,0.11380756662486996,0.11617284,0.024374781,0.00029953918,5.3108807,0.48234493,0.6596204
60000,1.4236643,-0.0023929797450399884,0.5576903105203033,-0.0040827505,1.0671003,-0.0023921713023069367,0.12417609750821856,0.009962302,0.034703802,0.0002987709,0.73491925,0.42188653,0.44808885
90000,1.4226854,-0.006801483213692761,7.551409854742238,0.0036561762,1.1193539,-0.006674829366581635,0.4010929598808204,0.07057101,0.026612887,0.00029784872,0.48605344,0.18042623,0.27397844
120000,1.4193659,0.09825753001081566,26.424657534246574,0.031058175,1.5801929,0.09791963343619109,0.7795452435896413,0.04212228,0.022021897,0.00029692586,0.2856797,0.061468337,0.21021084
150000,1.4183879,0.5895260662453964,46.38546603475513,0.09756096,2.2214162,0.5626998443532026,0.8701680602408698,0.14531437,0.022751315,0.00029599853,0.179054,0.04585268,0.16889451
180000,1.415562,1.04561151871219,52.902877697841724,0.27123418,2.470783,1.0767284294643955,1.0072779676193546,0.6700163,0.02520755,0.00029507396,0.15576054,0.042187914,0.14653791
210000,1.412688,1.2324765277639713,49.4244966442953,0.44417274,2.44654,1.2342739492578494,0.5198847845791518,0.70419234,0.024699675,0.0002941482,0.12294015,0.04067636,0.13558874
240000,1.4093912,1.4911649316302196,62.31289640591966,0.5060914,2.3717198,1.48829120235888,0.47329172021060995,0.62592655,0.025624864,0.00029322415,0.0707284,0.039262656,0.13185054
270000,1.4071245,1.789737936713913,59.60685483870968,0.5354288,2.2117984,1.7510060319830025,0.3822691581595028,0.79880613,0.023191383,0.00029229693,0.060343564,0.038536847,0.12935801
300000,1.4030216,1.361282634525855,53.2481884057971,0.65511733,2.0429432,1.3963278886884032,0.29508684224624565,0.72448826,0.023152797,0.00029136948,0.052031264,0.039476514,0.12958504
330000,1.4014434,1.5314363942041316,53.60363636363636,0.7672474,1.8865823,1.5312545208622363,0.2535531040450389,0.7151554,0.022878697,0.00029044293,0.043630075,0.037899036,0.04372568428516388
360000,1.3993064,2.3640125818328936,61.505219206680586,1.0760531,1.7923609,2.364221291565278,0.25507071291510647,1.1613127,0.02337203,0.00028951783,0.038508307,0.036695674,0.0
390000,1.3963436,2.781617836571156,61.18181818181818,1.1968228,1.6990434,2.7815991661240527,0.22808834618296137,1.5148959,0.024861101,0.00028874673,0.03555738,0.035239562,0.0
420000,1.3957545,2.398097573687877,52.145390070921984,1.1401505,1.6752572,2.398113402715514,0.1841948049684577,1.5438441,0.024659293,0.00028797545,0.032741755,0.03558073,0.0
450000,1.393709,2.392696459416626,50.39451114922813,1.6974481,1.6644723,2.3522160306313724,0.1641066089714997,1.2697514,0.026348218,0.00028705248,0.03040121,0.037623033,0.0
480000,1.3890903,2.24320005758983,53.57090909090909,1.6919645,1.5604388,2.284836335376921,0.15904558200727809,1.6896552,0.022945285,0.00028612724,0.028942032,0.035834584,0.0
510000,1.3871672,3.2169197443444437,62.36786469344609,1.5550202,1.4544704,3.218293727028044,0.15515817482079564,1.8254868,0.020831348,0.00028520267,0.024215138,0.032955516,0.0
540000,1.3850597,2.3975513485759925,47.05128205128205,1.6595193,1.4774061,2.397631344978902,0.12682766247263105,1.7072414,0.024178913,0.00028427722,0.023600593,0.034537643,0.0
570000,1.3815575,2.8021908183452777,54.55,1.8223025,1.3528031,2.7945407342051447,0.12482789423644405,1.3497359,0.024543295,0.00028335117,0.02283275,0.03246263,0.0
600000,1.379465,3.0626220184537654,55.82041587901701,1.8669243,1.2843341,3.0696747532697124,0.11154289894635193,1.9654502,0.023095062,0.00028242634,0.019070482,0.031033663,0.0
630000,1.3761922,4.334982621947129,73.9875,2.1860342,1.055988,4.331482359840302,0.13440839795628562,2.0284219,0.023488864,0.00028149996,0.017368121,0.029332174,0.0
660000,1.3716441,3.6391910882197047,63.42918454935622,2.57822,1.1270462,3.5545342733939638,0.10804337342749369,1.7676197,0.026774406,0.00028057583,0.015966369,0.02977129,0.0
690000,1.3665221,3.535175641172261,58.15779092702169,2.3653336,1.2225144,3.6163410992582956,0.09849531222061352,1.8962331,0.025166413,0.00027965117,0.015881753,0.031011045,0.0
720000,1.3662266,3.702916607110961,58.62425447316103,2.518632,1.0777013,3.7031132909985423,0.10227635658621996,2.1834042,0.02508157,0.00027872538,0.015649214,0.030904816,0.0
750000,1.3636621,4.494729936337443,68.33487297921478,2.861859,0.97301745,4.4820737511158315,0.0907703325239507,2.142727,0.02603649,0.0002779537,0.012721838,0.026804328,0.0
780000,1.359658,4.477860648210609,69.78959810874704,4.059792,1.0465673,4.478924326376547,0.09077314236289415,2.189319,0.026344845,0.00027717967,0.011716212,0.026275804,0.0
810000,1.3562212,4.910276647982036,76.49612403100775,3.8527946,0.9582769,4.91037989653002,0.08938520437092051,2.13638,0.025265241,0.00027625388,0.012012441,0.02675121,0.0
840000,1.3532774,5.684832609373769,78.75265957446808,3.9641626,0.76714385,5.556614157840352,0.08813928399158226,2.1129827,0.025653848,0.00027532573,0.010292151,0.023945363,0.0
870000,1.3507365,5.277781048610248,68.95804195804196,4.6680236,0.96389353,5.394820400356317,0.0743230037078574,2.729448,0.024441982,0.00027440122,0.010087476,0.024769768,0.0
900000,1.3467586,5.125206478643095,71.90291262135922,4.411591,0.82411593,5.124235390653004,0.07516649206738593,2.2649553,0.026384925,0.00027347548,0.010021061,0.023497889,0.0
930000,1.3436677,6.784199643594323,83.13764044943821,5.2080207,0.7465949,6.668120564215652,0.08234267822516496,2.339608,0.023464069,0.00027254978,0.009362842,0.022275798,0.0
960000,1.3419149,5.912095156244228,78.39050131926122,5.969145,0.7408779,6.027593529166403,0.07287025311224575,2.640443,0.026937544,0.00027162276,0.008834624,0.021839226,0.0
990000,1.3409979,7.2156483781287575,91.50925925925925,6.2835054,0.6030412,7.207191102415105,0.07493746374592898,2.20727,0.02263355,0.00027069694,0.007760685,0.021099472,0.0
1020000,1.3403864,5.810899911261317,75.96915167095116,6.3783727,0.7800616,5.80565285157283,0.06163068728432883,2.2038672,0.021242179,0.00026977248,0.007602899,0.022469109,0.0
1050000,1.3356583,5.352554254865769,65.31788079470199,6.381227,0.8817892,5.3548078381843975,0.0733105079111567,4.9284554,0.023379495,0.00026884585,0.00959701,0.023624703,0.0
1080000,1.3342377,6.45395104192761,80.85519125683061,7.347599,0.6757169,6.4531309246782165,0.0645728846382136,2.862406,0.024232596,0.00026792157,0.007658129,0.024453511,0.0
1110000,1.332303,6.184118576071598,74.55415617128463,6.743039,0.68516296,6.041800835489774,0.06065463259117091,3.0667763,0.02366912,0.00026715192,0.007994641,0.025480157,0.0
1140000,1.3293831,4.214616140042664,58.988,6.835088,0.8474926,4.33546003367356,0.045912658682558685,2.865853,0.023695732,0.0002663791,0.00716827,0.024810387,0.0
