Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
30000,1.4197673,-0.0010446263686307612,0.010609275538041831,0.21953091,0.1620248,0.1904549,-0.0010444669542306773,0.05186021307993762,0.026639881406077592,0.1250134,0.026019417,0.00029953918,4.7187114,0.46969652,7.1580086,0.32320827,0.5128957,0.677341
60000,1.4271399,-0.0017860766904582172,0.3004464866270753,0.0034273905,0.36038995,0.25663877,-0.0017856091471840265,0.042061251148058316,0.06352963974210858,0.0021599175,0.042430963,0.00029877084,0.61183435,0.4401708,1.5966167,0.25084937,0.68179655,0.47874412
90000,1.4269539,0.003941214104156788,3.9119043720320943,-0.0053056213,0.5290763,0.341199,0.003938797834800836,0.10800786239371335,0.19902062502979526,0.0125281075,0.028131895,0.0002978488,0.43978953,0.26609325,1.0828861,0.27482688,0.69787574,0.2833484
120000,1.4195518,0.0825370349039413,16.38252314814815,0.016865147,0.7647048,0.40872872,0.08214533831328305,0.2351024688014434,0.5953456640608078,0.025883568,0.022921214,0.00029692566,0.27880934,0.1013199,0.8309612,0.26631907,0.7302897,0.20966284
150000,1.4148815,0.37660714525236855,30.506302521008404,0.1147589,0.98944604,0.40183896,0.3756862566695213,0.2826023945005382,1.0416886578797746,0.10321775,0.022097677,0.00029600196,0.17612998,0.06302009,0.7712836,0.25257906,0.7526448,0.17682958
180000,1.4089274,0.5787123855270074,35.38106796116505,0.2179661,1.0420367,0.40581882,0.5802475984121539,0.22995135294741417,1.117046098543548,0.09885465,0.024361672,0.00029507745,0.12572181,0.058067024,0.730521,0.24083035,0.7604899,0.15799911
210000,1.4055911,0.8542974793169459,46.56487341772152,0.35112208,1.094523,0.39068893,0.8534177632988033,0.2416696508173371,1.4194204713957668,0.22343771,0.020768741,0.00029415288,0.09641701,0.05390298,0.69987947,0.22851337,0.7660473,0.14778511
240000,1.4011014,1.064008881163937,52.216312056737586,0.5027365,0.99877506,0.40921733,1.0658351157900072,0.19964526880842945,1.484799457839459,0.26529232,0.024255356,0.00029322912,0.07186396,0.0511867,0.66464764,0.2190666,0.7684855,0.14019628
270000,1.398014,1.0568055169259565,53.93761467889908,0.55316365,0.9195852,0.3878251,1.0562569419748722,0.16902066061632076,1.457151600697992,0.30140385,0.025007932,0.00029230316,0.05889925,0.051940855,0.6487067,0.2105072,0.7757961,0.13568439
300000,1.3951949,1.2726672711191314,51.54991243432575,0.61518353,0.85302615,0.3598003,1.2731909301089557,0.14263707453029428,1.3683218736260243,0.359768,0.024786973,0.00029137952,0.05128436,0.05084342,0.6250165,0.20572238,0.78104955,0.13774996
330000,1.3916379,1.4106381025225623,50.55231560891938,0.8174012,0.76054984,0.36202297,1.4106381175591087,0.11488703625535475,1.289343770587015,0.41988742,0.025459101,0.00029045402,0.042244498,0.05025362,0.60925364,0.20042343,0.7863714,0.046406134963035583
360000,1.3888292,1.4673217974075452,46.23501577287066,0.73801017,0.68613034,0.35222146,1.4673218070959073,0.10874533279077664,1.1716257388048368,0.6655429,0.020465517,0.0002895281,0.04148321,0.052100364,0.60310364,0.19748789,0.7898182,0.0
390000,1.382843,2.1194861852238986,54.42698706099815,0.86221945,0.61275417,0.30571908,2.114813298475025,0.1023469093878015,1.3701879855816885,0.703034,0.024478016,0.00028875493,0.03512123,0.050876215,0.59356594,0.19799471,0.7936468,0.0
420000,1.3797157,1.5899750729468862,45.86739469578783,1.1139194,0.5902399,0.32943615,1.5930920443780918,0.08145423438552588,1.1233567665861381,0.6951936,0.027233124,0.00028798264,0.032848965,0.055476088,0.5858593,0.19433554,0.79838157,0.0
450000,1.3767233,1.9871093926956085,46.44215530903328,1.149213,0.59089774,0.3104991,1.9871917302065667,0.07235141449700894,1.1294531107432964,0.7821142,0.02442564,0.00028705678,0.030635508,0.050471168,0.57107586,0.18994875,0.8036631,0.0
480000,1.37244,1.7065994591195195,42.29971181556196,1.1918615,0.5240889,0.3009486,1.707288190803151,0.06346292673678591,1.0215926633380161,0.737041,0.025048679,0.0002861299,0.028502388,0.052122746,0.56877726,0.18892454,0.8068076,0.0
510000,1.3681244,2.1336972306375506,51.74823943661972,1.2316878,0.51073,0.25426742,2.1336971044132134,0.07509131227951156,1.1978601419242283,0.87072915,0.023331381,0.00028520383,0.026336158,0.047926772,0.560616,0.18417944,0.8083224,0.0
540000,1.3656363,2.342633615970717,50.49828767123287,1.3856107,0.4583668,0.26250145,2.3345154260934255,0.06147098896167024,1.1629206432437855,0.90318114,0.023660123,0.00028427967,0.024004588,0.048976537,0.55542237,0.18442069,0.8120055,0.0
570000,1.3622441,1.7211251948652824,36.876106194690266,1.2976596,0.461886,0.2872767,1.7264373720579107,0.04707748095349523,0.840441514646067,0.93590945,0.022160292,0.00028335067,0.023323037,0.051403433,0.5471586,0.17919217,0.8150169,0.0
600000,1.3605272,2.3135986836099165,50.526586620926246,1.5429915,0.43137383,0.27641577,2.2764373681406966,0.05639485013431599,1.137354463102427,0.8960702,0.024502864,0.00028242334,0.021118626,0.048466578,0.5418357,0.17828222,0.81763,0.0
