Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
30000,1.4124498,0.023000478158034885,1.8717262473714396,-0.029635798,0.30632672,0.1577363900344218,0.1358425871997974,0.23341873,0.0377639,0.0002995364,2.379615,0.36262828,4.2426243,0.3674457,0.6093626,0.29319292
60000,1.3901988,0.6994673978488604,80.66847826086956,1.3651415,0.39892772,1.2792947202030083,2.6732693244500654,0.017134558,0.034999315,0.00029868216,0.30299753,0.054871712,0.86448574,0.24993432,0.729145,0.076180056
90000,1.3857492,0.6075324704549305,96.21103896103897,1.574424,0.30132124,0.6586948217727341,2.8645380887311775,0.0018861379,0.03376958,0.00029775003,0.12657085,0.018101929,0.68653506,0.22966655,0.77194905,0.07215667
120000,1.3794448,0.6579177740602876,97.83881578947368,1.372496,0.2842575,0.41041277001281024,2.7275580476577344,0.0015629316,0.03179857,0.00029681725,0.0740356,0.012918946,0.63806576,0.21343009,0.78590447,0.0706715
150000,1.3756186,0.8895346692166977,97.9042904290429,1.1054329,0.24207973,0.27724989211008494,2.478754718704979,0.0012119114,0.035836257,0.0002959597,0.051804222,0.008484865,0.6006104,0.19782668,0.7953359,0.069896474
180000,1.3739014,0.9728092298568012,97.59210526315789,0.86102086,0.24415563,0.20669020318401685,2.4036662483489826,0.0010950993,0.03138817,0.00029510361,0.038953368,0.008384322,0.5701768,0.18629743,0.805326,0.069871254
210000,1.3743628,0.4878980213313633,97.90789473684211,0.6696333,0.23669983,0.16587343957814338,2.358888006327968,0.0011154957,0.041397076,0.00029417,0.031065343,0.010863821,0.5603521,0.18499108,0.813509,0.06947815
240000,1.3718086,1.0754393649050875,97.31803278688524,0.5121776,0.22254354,0.12573438375943996,2.2070662552216014,0.00074726343,0.032852124,0.00029323288,0.023398496,0.0068238676,0.5362873,0.1757272,0.82167816,0.06958187
270000,1.372599,0.417760799729816,98.42857142857143,0.4088226,0.20563808,0.10673227055351006,2.236594865537957,0.00077925896,0.034456965,0.00029229643,0.019090027,0.008022769,0.52446204,0.1718514,0.8253158,0.069551714
300000,1.3759515,1.335483466822805,98.6887417218543,0.32794148,0.20944312,0.09115134592344397,2.19121861675649,0.0006638855,0.032966178,0.00029143525,0.016491972,0.009390234,0.5059353,0.16610728,0.83406097,0.07004479
330000,1.378675,0.9932647319118724,96.82352941176471,0.26163006,0.22778273,0.08447516543626882,2.1765869503494972,0.00076923467,0.03210297,0.0002905758,0.015831118,0.0111284135,0.5025591,0.17066132,0.83962697,0.011956466982762018
360000,1.3761607,1.4136885580816687,97.24262295081967,0.21687523,0.21691175,0.07812671151439675,2.1762595716069955,0.0007936971,0.033158485,0.0002896431,0.014786895,0.011661235,0.4956261,0.16621989,0.83988357,0.0
390000,1.3724926,1.5765392384761976,97.2516339869281,0.18162078,0.22086513,0.0769227037352382,2.224102504405321,0.000894733,0.03650401,0.00028871125,0.014316261,0.017178332,0.4956434,0.16801745,0.8418245,0.0
420000,1.3662974,1.4551546264736221,97.57236842105263,0.15793647,0.22112788,0.07186090193786904,2.308490691706538,0.0010582595,0.033301752,0.0002878574,0.013498517,0.017398164,0.4867691,0.16821042,0.84817266,0.0
450000,1.3627928,0.904929953815629,94.57006369426752,0.15406637,0.23804161,0.06644650489080009,2.1558382029461254,0.0008989656,0.033844303,0.00028700303,0.012916313,0.025798371,0.472679,0.16407418,0.85305303,0.0
480000,1.3588315,1.2655723396250862,93.21069182389937,0.13706395,0.25072235,0.060693000172376166,2.180902764482318,0.00094071124,0.037965138,0.0002860721,0.011682849,0.03228679,0.46943352,0.16730146,0.85741156,0.0
510000,1.3493979,0.9538425883870388,91.8425925925926,0.1213438,0.25299716,0.056688810697250805,2.1888045915115026,0.00093578896,0.034815438,0.0002851451,0.011295161,0.036820926,0.46314535,0.16836636,0.86112756,0.0
540000,1.3408968,1.6232026312895897,96.75490196078431,0.1127118,0.24712576,0.055572026333120327,2.2812010345895306,0.0008375323,0.03396258,0.00028421794,0.010476366,0.04197115,0.45447528,0.1697051,0.86565024,0.0
570000,1.3357649,1.467426317429785,95.27564102564102,0.095442116,0.24206582,0.04650985894617266,2.1881288558435745,0.0010092458,0.030975133,0.000283365,0.009088116,0.03423106,0.44067782,0.16649134,0.87134725,0.0
