Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
30000,1.3493493,-1.245526766830257,12.630803571428572,-0.74083364,-0.34817606,-0.07396813,-1.2404917366386365,0.18882964175838976,0.045553727804549506,0.046156798,0.1091539,0.00029953502,0.9266191,0.10404699,1.529853,0.24289227,0.71917117,0.0852938
60000,1.1441742,-4.28703997733778,168.54597701149424,-2.2743368,0.39203212,0.27292785,-4.304090999744155,0.2974732932674339,0.3942045610509178,0.0007454296,0.092406385,0.00029865638,0.049636424,0.012749434,0.56289315,0.17216465,0.79867756,0.04867258
90000,0.9889032,-3.190873440535095,110.43494423791822,-1.9788786,0.18003447,0.26559868,-3.185018641354869,0.09084546021410857,0.24873781579868612,0.0028540571,0.0779283,0.00029776478,0.024501475,0.017901765,0.5194018,0.15771294,0.81920457,0.038398135
120000,0.8532243,-3.795069881131716,141.7570093457944,-2.0771818,0.10941322,0.2795296,-3.7837029082595177,0.08838963327832731,0.32685838628314295,0.0011783561,0.09431671,0.00029685808,0.017729808,0.02176452,0.50324035,0.15820597,0.83112186,0.032475587
150000,0.73697716,-4.4895451873992425,178.3939393939394,-2.4564633,0.054725654,0.25526628,-4.495658785997037,0.06623167958400564,0.35512550331339865,0.0004581634,0.10850489,0.00029592493,0.009850508,0.02202076,0.4512175,0.14227656,0.85086626,0.028356541
180000,0.6181906,-3.0610138308647628,103.57692307692308,-1.9795464,0.047191247,0.25618523,-3.063636409652817,0.028401671787088908,0.1847760680724274,0.0020385552,0.084052116,0.00029503784,0.0076690614,0.019122014,0.41274413,0.12556577,0.86593294,0.025461107
210000,0.49000657,-1.2076401799485386,10.5235227700414,-1.0972841,0.07629586,0.26638678,-1.2030708402642292,0.00402949824095655,0.025726057506194822,0.00090324634,0.11328299,0.00029413807,0.009895857,0.023160817,0.47928312,0.14951691,0.846408,0.02337467
240000,0.36717594,-1.1589263492208528,8.120049504950495,-1.0769565,0.05299477,0.25791875,-1.1624884120463588,0.001988931861007721,0.015679825444859085,0.00054277113,0.09969064,0.00029323835,0.005566349,0.021604642,0.39241958,0.11882177,0.87112117,0.020835474
270000,0.24534284,-1.1695473453380436,8.617590206185566,-1.0816783,0.037157726,0.24885078,-1.1695473616577916,0.0018886312206336932,0.016249747491740695,0.00061532774,0.1132813,0.00029237443,0.005824559,0.023127215,0.34632245,0.10591444,0.8866391,0.019492585
300000,0.13294818,-1.1490047881090493,7.63382269904009,-1.0627905,0.025898965,0.2361112,-1.1468291003151803,0.0011268998979489546,0.015482048729687337,0.0004086616,0.10200615,0.0002914742,0.0033524819,0.015638221,0.32277754,0.09685312,0.88985837,0.018430922
330000,0.026545243,-1.1688092772062597,8.640497219496238,-1.0743188,0.022954332,0.23026505,-1.171314159262683,0.0014405655411664847,0.016202436078463653,0.00037530402,0.1230834,0.00029053868,0.0039691296,0.018298257,0.29757422,0.090555005,0.89855003,0.017821718
360000,-0.074118815,-1.188482634324802,9.61083569405099,-1.0789436,0.026520338,0.2092232,-1.1884826521782295,0.0014572071981847356,0.018551796371650234,0.00036294086,0.114291884,0.0002896381,0.0038861688,0.013548589,0.28903407,0.092499025,0.9079974,0.01711185
390000,-0.16879827,-1.1703105066231296,8.690747782002536,-1.0704943,0.0014439736,0.17571361,-1.1666666704474877,0.001829875876757812,0.017838121787875225,0.00046373875,0.42943922,0.00028873858,0.0058365623,0.023390386,0.28680193,0.09166089,0.9055919,0.016802197
420000,-0.26607513,-1.1557651234681316,7.951019166413142,-1.070076,0.021519534,0.166613,-1.1592705197972004,0.0015147573629098801,0.015006702727529643,0.0004887337,0.09329227,0.00028783866,0.004397025,0.012311016,0.26334003,0.086037256,0.9122624,0.016128719
