Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/Pretraining Loss
30000,1.4114902,0.014348429286993598,1.6854023091381007,0.09998866,0.40834823,0.014383726691272986,0.11676825824631475,0.13713168,0.035904996,0.0002995385,1.7846782,0.40150633,0.2867643
60000,1.3836441,0.857453049270202,81.88397790055248,0.098698676,1.62479,0.8577845973497802,1.164566148911186,0.37615344,0.035878472,0.00029868577,0.2737076,0.0774908,0.07556043
90000,1.373995,0.9314127239712795,94.38095238095238,0.36275533,1.6913022,0.9314127384673893,0.6109557088227973,0.44816634,0.03564814,0.00029775145,0.11747105,0.02324324,0.07056149
120000,1.3652524,0.8272852621538243,95.13782051282051,0.23569949,1.4296132,0.8272853437352191,0.3829325628392279,0.31419575,0.033243578,0.00029681346,0.07093153,0.022697411,0.069265775
150000,1.35665,0.8193586141522023,86.58600583090379,0.2753498,1.1795169,0.7117784784132012,0.2612797615577198,0.3140373,0.031510428,0.00029596122,0.054439954,0.02290943,0.06797781
180000,1.3488072,0.7943267477192169,97.75577557755776,0.3923136,0.8688055,0.916109005236697,0.19246427784904396,0.31555513,0.03340496,0.0002951077,0.037262864,0.021071248,0.06721132
210000,1.3379941,0.4833803327456422,97.31803278688524,0.16580933,0.63454497,0.4833803980595997,0.1491455023467052,0.20183127,0.034273818,0.00029417672,0.027192635,0.01621369,0.065947175
240000,1.329298,0.8079246045983411,97.76065573770492,0.21561033,0.47752008,0.8122270684076571,0.11397901446386975,0.2714972,0.037174884,0.00029324263,0.021153053,0.018927038,0.06515637
270000,1.325844,1.3997076721575754,98.50830564784053,0.09448955,0.33748803,1.3929204925068266,0.09863221606190335,0.74890465,0.034390785,0.00029231154,0.017679762,0.017797926,0.06457172
300000,1.3237406,1.6737907570717157,98.55481727574751,0.26928672,0.27072027,1.6742891123010917,0.0833612497140997,0.76362115,0.03736117,0.00029145408,0.015471843,0.017543793,0.064962864
330000,1.3218855,2.718643423651035,99.0,0.6637262,0.27112103,2.7186433605632434,0.07816052967061599,1.0583371,0.03299309,0.0002905968,0.013999765,0.018090319,0.010926686227321625
360000,1.3213713,3.224768330084795,98.45033112582782,0.8241407,0.30549997,3.080066196281241,0.07059063576778632,1.4378939,0.034597363,0.0002896608,0.012705752,0.018854635,0.0
390000,1.3198912,3.657917644308723,98.06600660066006,1.6622559,0.21863034,3.8021419238446668,0.0608818644208975,1.3809503,0.035584155,0.00028872656,0.011014704,0.019614514,0.0
420000,1.324019,3.5030727465867555,97.76237623762377,2.1318042,0.13933969,3.4943926542729953,0.05156836098385821,1.4044101,0.03148727,0.00028786814,0.009637548,0.017081328,0.0
